,model_type,augmentation_type,scheduler_type,epoch_list,learning_rat,train_accuracy,train_losses,test_accuracy,test_losses
91,Fine_tuning,Optimal,StepLR,12,0.0001,0.943344414417639,0.23027524823835324,0.9138257575757576,0.32824126345039617
92,Fine_tuning,Optimal,StepLR,13,0.0001,0.9441699029994989,0.22901572033307438,0.9144570707070707,0.3273693787479641
93,Fine_tuning,Optimal,StepLR,14,0.0001,0.9427370427374901,0.23311501132999446,0.9142992424242424,0.32703342849407535
94,Fine_tuning,Optimal,StepLR,15,1e-05,0.9456128301954327,0.23034445072756063,0.914614898989899,0.32665622512800524
95,Fine_tuning,Optimal,StepLR,16,1e-05,0.9444394731190493,0.22850125608355717,0.914614898989899,0.32655735238633976
96,Fine_tuning,Optimal,StepLR,17,1e-05,0.9438421683728255,0.22856965784682978,0.914614898989899,0.3267309343574023
97,Fine_tuning,Optimal,StepLR,18,1e-05,0.9421296710573414,0.22995932196881053,0.9149305555555556,0.3266071475515462
98,Fine_tuning,Optimal,StepLR,19,1e-05,0.9439070441692319,0.22832380809442965,0.9142992424242424,0.32621971980640385
99,Fine_tuning,Optimal,StepLR,20,1.0000000000000002e-06,0.9439036885245902,0.22739574685692787,0.9141414141414141,0.3266547872035792
100,Fine_tuning,Bad,StepLR,1,0.01,0.32429844656024054,2.558845777699,0.5607638888888888,1.83509185157641
101,Fine_tuning,Bad,StepLR,2,0.01,0.6897013028849596,1.249313043454849,0.6927083333333334,1.1707946643082783
102,Fine_tuning,Bad,StepLR,3,0.01,0.7841470398740067,0.8371165030387812,0.7825126262626263,0.8157147357259134
103,Fine_tuning,Bad,StepLR,4,0.01,0.8268733445486434,0.6543426826010625,0.8494318181818182,0.5726292274817072
104,Fine_tuning,Bad,StepLR,5,0.001,0.8555137715656096,0.5407386465754571,0.8764204545454546,0.49962576012117693
105,Fine_tuning,Bad,StepLR,6,0.001,0.8749149903357435,0.4635416466466204,0.8737373737373737,0.4719208749105232
106,Fine_tuning,Bad,StepLR,7,0.001,0.8796263154126995,0.45345177081734855,0.8770517676767676,0.4670266473872794
107,Fine_tuning,Bad,StepLR,8,0.001,0.8815949602691674,0.44190122883392735,0.8792613636363636,0.4528197240686477
108,Fine_tuning,Bad,StepLR,9,0.001,0.8819327618297659,0.43334896433041087,0.882260101010101,0.44618005574577385
109,Fine_tuning,Bad,StepLR,10,0.0001,0.8867089627031283,0.42933032202928867,0.8852588383838383,0.43399062942751127
110,Fine_tuning,Bad,StepLR,11,0.0001,0.8869852441119622,0.42364668325565785,0.8839962121212122,0.43810168061066757
111,Fine_tuning,Bad,StepLR,12,0.0001,0.8870434086190851,0.41880685767752635,0.8841540404040404,0.43778760430186686
112,Fine_tuning,Bad,StepLR,13,0.0001,0.8873912771136087,0.4195695741988686,0.8832070707070707,0.4376769341114495
113,Fine_tuning,Bad,StepLR,14,0.0001,0.8867738384995347,0.4202116959154866,0.884469696969697,0.4380868448113853
114,Fine_tuning,Bad,StepLR,15,1e-05,0.8894583542129,0.41661138442145684,0.8849431818181818,0.4369750176979737
115,Fine_tuning,Bad,StepLR,16,1e-05,0.8889639559023552,0.41608071463857677,0.8841540404040404,0.43742233527955987
116,Fine_tuning,Bad,StepLR,17,1e-05,0.8912223047462238,0.41107503464648815,0.884469696969697,0.43728448326388997
117,Fine_tuning,Bad,StepLR,18,1e-05,0.8867906167227433,0.41848165948578364,0.884469696969697,0.4366454440686438
118,Fine_tuning,Bad,StepLR,19,1e-05,0.8864393925835778,0.41241773787284003,0.8846275252525253,0.43655277414228577
119,Fine_tuning,Bad,StepLR,20,1.0000000000000002e-06,0.8888274930202591,0.41911294874145477,0.88510101010101,0.43648377243391795
120,Fine_tuning,Very bad,StepLR,1,0.01,0.19369787565323215,2.885756616509117,0.20959595959595959,2.819111821627376
121,Fine_tuning,Very bad,StepLR,2,0.01,0.43584007445056916,2.100064599357838,0.4965277777777778,1.9623503883679707
122,Fine_tuning,Very bad,StepLR,3,0.01,0.5670457799412986,1.5920893198538035,0.5544507575757576,1.7500055850756289
123,Fine_tuning,Very bad,StepLR,4,0.01,0.645473906507266,1.3182131757382223,0.6161616161616161,1.429333539322169
124,Fine_tuning,Very bad,StepLR,5,0.001,0.6851879608418641,1.151756858981853,0.6619318181818182,1.2735139571055016
125,Fine_tuning,Very bad,StepLR,6,0.001,0.7238103121196936,1.0172764828111407,0.6963383838383839,1.1505605811723556
126,Fine_tuning,Very bad,StepLR,7,0.001,0.7310428448707853,0.9983349957840932,0.6909722222222222,1.1432704320459655
127,Fine_tuning,Very bad,StepLR,8,0.001,0.7314936198009879,0.9858621418736387,0.6922348484848485,1.1333462337050775
128,Fine_tuning,Very bad,StepLR,9,0.001,0.7339253436180113,0.9681962991385481,0.7105429292929293,1.0956948242253728
129,Fine_tuning,Very bad,StepLR,10,0.0001,0.7406120248407188,0.9532826118594174,0.7069128787878788,1.0980909437392696
130,Fine_tuning,Very bad,StepLR,11,0.0001,0.7427685857971222,0.9541476845220708,0.7070707070707071,1.0881229052037904
131,Fine_tuning,Very bad,StepLR,12,0.0001,0.7451868870355788,0.9403678329750961,0.7099116161616161,1.082105696502358
132,Fine_tuning,Very bad,StepLR,13,0.0001,0.7429251825470685,0.9502839620456945,0.7097537878787878,1.0836031689035772
133,Fine_tuning,Very bad,StepLR,14,0.0001,0.7465895464958122,0.9356116046030969,0.7091224747474747,1.083716489449896
134,Fine_tuning,Very bad,StepLR,15,1e-05,0.7412261078101511,0.9393840913689293,0.7089646464646465,1.0824879683328397
135,Fine_tuning,Very bad,StepLR,16,1e-05,0.7482606575273821,0.9327806231756919,0.70864898989899,1.0825078795203056
136,Fine_tuning,Very bad,StepLR,17,1e-05,0.7446723548571837,0.9410881832176942,0.710385101010101,1.0822564502707634
137,Fine_tuning,Very bad,StepLR,18,1e-05,0.7433960913451213,0.9352028550799757,0.7102272727272727,1.0785590937041274
138,Fine_tuning,Very bad,StepLR,19,1e-05,0.7434609671415277,0.9326785313510478,0.7118055555555556,1.0792914468682173
139,Fine_tuning,Very bad,StepLR,20,1.0000000000000002e-06,0.7418502577135085,0.9478574002153488,0.7118055555555556,1.0789621948744312
